time (min), RI signal
6,0.004
6.00167,0.003
6.00333,0.002
6.005,0.001
6.00667,0.001
6.00833,0
6.01,-0.001
6.01167,-0.001
6.01333,-0.002
6.015,-0.002
6.01667,-0.003
6.01833,-0.001
6.02,0
6.02167,-0.001
6.02333,-0.001
6.025,-0.001
6.02667,-0.001
6.02833,-0.001
6.03,0
6.03167,-0.001
6.03333,-0.001
6.035,-0.001
6.03667,-0.003
6.03833,-0.005
6.04,-0.005
6.04167,-0.005
6.04333,-0.005
6.045,-0.004
6.04667,-0.003
6.04833,-0.003
6.05,-0.002
6.05167,0
6.05333,0
6.055,0
6.05667,0
6.05833,0
6.06,0.001
6.06167,0.002
6.06333,0.003
6.065,0.003
6.06667,0.004
6.06833,0.005
6.07,0.005
6.07167,0.003
6.07333,0.003
6.075,0.004
6.07667,0.005
6.07833,0.005
6.08,0.004
6.08167,0.005
6.08333,0.005
6.085,0.003
6.08667,0.003
6.08833,0.001
6.09,0.002
6.09167,0.002
6.09333,0.001
6.095,0.001
6.09667,0
6.09833,-0.001
6.1,0
6.10167,0
6.10333,0
6.105,0.001
6.10667,0
6.10833,0
6.11,0
6.11167,0
6.11333,0
6.115,0.001
6.11667,0.001
6.11833,0
6.12,-0.002
6.12167,-0.003
6.12333,-0.003
6.125,-0.003
6.12667,-0.003
6.12833,-0.003
6.13,-0.002
6.13167,-0.002
6.13333,0
6.135,-0.001
6.13667,-0.001
6.13833,-0.001
6.14,-0.001
6.14167,0
6.14333,0
6.145,0
6.14667,-0.001
6.14833,-0.001
6.15,-0.002
6.15167,-0.002
6.15333,-0.001
6.155,-0.001
6.15667,-0.002
6.15833,-0.002
6.16,-0.001
6.16167,-0.001
6.16333,0
6.165,0
6.16667,0.002
6.16833,0.001
6.17,0
6.17167,0
6.17333,0
6.175,-0.002
6.17667,-0.002
6.17833,-0.001
6.18,-0.001
6.18167,0
6.18333,-0.001
6.185,0
6.18667,-0.001
6.18833,0
6.19,-0.001
6.19167,-0.001
6.19333,0
6.195,-0.001
6.19667,-0.001
6.19833,-0.001
6.2,-0.001
6.20167,-0.002
6.20333,-0.003
6.205,-0.004
6.20667,-0.005
6.20833,-0.004
6.21,-0.004
6.21167,-0.003
6.21333,-0.003
6.215,-0.004
6.21667,-0.003
6.21833,-0.002
6.22,0
6.22167,0
6.22333,0.001
6.225,0
6.22667,0
6.22833,0
6.23,0.001
6.23167,0
6.23333,0
6.235,0
6.23667,0
6.23833,-0.001
6.24,-0.003
6.24167,-0.004
6.24333,-0.003
6.245,-0.002
6.24667,-0.003
6.24833,-0.003
6.25,-0.003
6.25167,-0.001
6.25333,0
6.255,0
6.25667,0
6.25833,0.001
6.26,0
6.26167,0
6.26333,0
6.265,-0.001
6.26667,-0.002
6.26833,-0.002
6.27,-0.003
6.27167,-0.002
6.27333,-0.002
6.275,-0.004
6.27667,-0.002
6.27833,-0.002
6.28,-0.003
6.28167,-0.005
6.28333,-0.005
6.285,-0.002
6.28667,-0.003
6.28833,-0.002
6.29,-0.001
6.29167,-0.001
6.29333,-0.003
6.295,-0.004
6.29667,-0.005
6.29833,-0.006
6.3,-0.006
6.30167,-0.003
6.30333,-0.001
6.305,-0.001
6.30667,0
6.30833,-0.001
6.31,-0.003
6.31167,-0.002
6.31333,-0.002
6.315,-0.002
6.31667,0
6.31833,0
6.32,0.001
6.32167,-0.001
6.32333,-0.004
6.325,-0.004
6.32667,-0.002
6.32833,-0.002
6.33,-0.002
6.33167,-0.001
6.33333,-0.001
6.335,-0.001
6.33667,-0.002
6.33833,-0.002
6.34,-0.004
6.34167,-0.002
6.34333,-0.002
6.345,-0.002
6.34667,-0.002
6.34833,-0.002
6.35,-0.001
6.35167,-0.002
6.35333,-0.004
6.355,-0.005
6.35667,-0.005
6.35833,-0.005
6.36,-0.005
6.36167,-0.004
6.36333,-0.003
6.365,-0.003
6.36667,-0.004
6.36833,-0.004
6.37,-0.003
6.37167,-0.002
6.37333,-0.002
6.375,-0.003
6.37667,-0.004
6.37833,-0.006
6.38,-0.006
6.38167,-0.004
6.38333,-0.003
6.385,-0.003
6.38667,-0.006
6.38833,-0.005
6.39,-0.006
6.39167,-0.005
6.39333,-0.004
6.395,-0.003
6.39667,-0.003
6.39833,-0.003
6.4,-0.005
6.40167,-0.006
6.40333,-0.006
6.405,-0.004
6.40667,-0.003
6.40833,-0.003
6.41,-0.003
6.41167,-0.005
6.41333,-0.003
6.415,-0.002
6.41667,-0.002
6.41833,-0.003
6.42,-0.006
6.42167,-0.006
6.42333,-0.004
6.425,-0.003
6.42667,-0.002
6.42833,-0.003
6.43,-0.005
6.43167,-0.005
6.43333,-0.004
6.435,-0.003
6.43667,-0.002
6.43833,-0.002
6.44,-0.001
6.44167,-0.001
6.44333,-0.002
6.445,-0.002
6.44667,-0.002
6.44833,-0.004
6.45,-0.005
6.45167,-0.005
6.45333,-0.005
6.455,-0.002
6.45667,-0.003
6.45833,-0.002
6.46,-0.005
6.46167,-0.006
6.46333,-0.005
6.465,-0.004
6.46667,-0.004
6.46833,-0.003
6.47,-0.002
6.47167,-0.002
6.47333,-0.002
6.475,-0.002
6.47667,-0.002
6.47833,-0.001
6.48,-0.002
6.48167,-0.003
6.48333,-0.003
6.485,-0.002
6.48667,-0.003
6.48833,-0.002
6.49,-0.001
6.49167,-0.001
6.49333,0
6.495,0
6.49667,-0.002
6.49833,-0.002
6.5,-0.003
6.50167,-0.003
6.50333,-0.002
6.505,0
6.50667,-0.001
6.50833,-0.003
6.51,-0.001
6.51167,0
6.51333,0
6.515,0
6.51667,0
6.51833,-0.001
6.52,-0.002
6.52167,-0.002
6.52333,-0.002
6.525,-0.001
6.52667,-0.001
6.52833,-0.001
6.53,-0.001
6.53167,-0.001
6.53333,0
6.535,0
6.53667,0
6.53833,0
6.54,0
6.54167,0
6.54333,0
6.545,0
6.54667,0
6.54833,0.001
6.55,0.001
6.55167,0
6.55333,0
6.555,0
6.55667,0
6.55833,0
6.56,-0.001
6.56167,-0.001
6.56333,0
6.565,0
6.56667,0.001
6.56833,0.001
6.57,0.002
6.57167,0.002
6.57333,0.002
6.575,0.001
6.57667,0
6.57833,-0.001
6.58,-0.001
6.58167,0
6.58333,0
6.585,0
6.58667,0
6.58833,-0.001
6.59,-0.002
6.59167,-0.002
6.59333,-0.002
6.595,-0.002
6.59667,-0.005
6.59833,-0.003
6.6,-0.002
6.60167,-0.003
6.60333,-0.002
6.605,-0.002
6.60667,-0.002
6.60833,-0.003
6.61,-0.004
6.61167,-0.003
6.61333,-0.005
6.615,-0.006
6.61667,-0.006
6.61833,-0.006
6.62,-0.005
6.62167,-0.005
6.62333,-0.004
6.625,-0.004
6.62667,-0.005
6.62833,-0.004
6.63,-0.001
6.63167,-0.001
6.63333,-0.001
6.635,-0.001
6.63667,-0.002
6.63833,-0.003
6.64,-0.003
6.64167,-0.005
6.64333,-0.003
6.645,-0.004
6.64667,-0.005
6.64833,-0.006
6.65,-0.005
6.65167,-0.005
6.65333,-0.005
6.655,-0.006
6.65667,-0.005
6.65833,-0.004
6.66,-0.003
6.66167,-0.002
6.66333,-0.002
6.665,-0.001
6.66667,-0.001
6.66833,-0.002
6.67,0
6.67167,-0.001
6.67333,-0.002
6.675,-0.002
6.67667,-0.001
6.67833,-0.002
6.68,-0.002
6.68167,0
6.68333,0
6.685,0
6.68667,0
6.68833,0
6.69,-0.001
6.69167,-0.002
6.69333,-0.002
6.695,-0.002
6.69667,-0.001
6.69833,-0.001
6.7,0
6.70167,0
6.70333,-0.002
6.705,-0.003
6.70667,-0.004
6.70833,-0.004
6.71,-0.002
6.71167,-0.001
6.71333,0
6.715,0
6.71667,-0.002
6.71833,0
6.72,0
6.72167,-0.001
6.72333,-0.004
6.725,-0.004
6.72667,-0.005
6.72833,-0.005
6.73,-0.003
6.73167,-0.001
6.73333,-0.001
6.735,-0.002
6.73667,-0.001
6.73833,-0.001
6.74,-0.001
6.74167,0
6.74333,-0.002
6.745,-0.002
6.74667,-0.001
6.74833,-0.002
